"Meaning of Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Government Organization","Iowa","1977","GO0001","Total Federal, state, and local government units","State and Local ","1,853"
"Government Organization","Iowa","1982","GO0001","Total Federal, state, and local government units","State and Local ","1,872"
"Government Organization","Iowa","1987","GO0001","Total Federal, state, and local government units","State and Local ","1,878"
"Government Organization","Iowa","1992","GO0001","Total Federal, state, and local government units","State and Local ","1,881"
"Government Organization","Iowa","1997","GO0001","Total Federal, state, and local government units","State and Local ","1,877"
"Government Organization","Iowa","2002","GO0001","Total Federal, state, and local government units","State and Local ","1,976"
"Government Organization","Iowa","2007","GO0001","Total Federal, state, and local government units","State and Local ","1,955"
"Government Organization","Iowa","2012","GO0001","Total Federal, state, and local government units","State and Local ","1,948"
"Government Organization","Iowa","2017","GO0001","Total Federal, state, and local government units","State and Local ","1,942"
"Government Organization","Kansas","1942","GO0001","Total Federal, state, and local government units","State and Local ","11,115"
"Government Organization","Kansas","1952","GO0001","Total Federal, state, and local government units","State and Local ","6,933"
"Government Organization","Kansas","1957","GO0001","Total Federal, state, and local government units","State and Local ","6,214"
"Government Organization","Kansas","1962","GO0001","Total Federal, state, and local government units","State and Local ","5,411"
"Government Organization","Kansas","1967","GO0001","Total Federal, state, and local government units","State and Local ","3,669"
"Government Organization","Kansas","1972","GO0001","Total Federal, state, and local government units","State and Local ","3,716"
"Government Organization","Kansas","1977","GO0001","Total Federal, state, and local government units","State and Local ","3,726"
"Government Organization","Kansas","1982","GO0001","Total Federal, state, and local government units","State and Local ","3,796"
"Government Organization","Kansas","1987","GO0001","Total Federal, state, and local government units","State and Local ","3,804"
"Government Organization","Kansas","1992","GO0001","Total Federal, state, and local government units","State and Local ","3,892"
"Government Organization","Kansas","1997","GO0001","Total Federal, state, and local government units","State and Local ","3,951"
"Government Organization","Kansas","2002","GO0001","Total Federal, state, and local government units","State and Local ","3,888"
